name,state,Risk_Score,problem_statement,proof_of_capability,idea_clarity,differentiation,gtm_strategy,business_model,vagueness,credibility,staff_pick,prelaunch_activated,video_present,duration_days,prep_time_days
"WonderCards: Amazing workshops, trainings & sessions!",successful,0.524967170910543,6.0,7.0,8.0,6.0,4.0,5.0,3.0,7.0,0,0,1,33.0,15.82724537037037
'TOUGH - Women Who Survived Cancer' Essay Collection,successful,0.3779061229700764,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,1,30.0,134.58200231481482
Miniature Pottery | Project 3000,successful,0.27483768528895225,6.0,4.0,8.0,6.0,5.0,4.0,3.0,7.0,1,1,1,23.375752314814815,37.19829861111111
Playing for Overtime: The David Lee Herbert Story,successful,0.6094169319869736,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,34.418055555555554,181.07418981481482
Micro Record Label,successful,0.36101531463591074,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,1,30.0,31.44871527777778
A New Book by Rick Newby: A Regionalism That Travels,successful,0.7465100606084518,6.0,8.0,9.0,7.0,4.0,5.0,3.0,8.0,0,0,0,29.958333333333332,56.93586805555555
PoleLight: Ein Beleuchtungssystem fÃ¼r Ihren Zaun,failed,9.363677318243909,8.0,4.0,9.0,7.0,6.0,5.0,4.0,7.0,0,1,1,30.0,3.752789351851852
"Marine Aquaculture Hatchery, Neptune Island, Bahamas",failed,9.599344255822714,6.0,4.0,7.0,5.0,3.0,6.0,4.0,7.0,0,0,1,30.0,80.06916666666666
A Veteran's Dream,failed,9.565454206107402,2.0,1.0,3.0,2.0,1.0,1.0,8.0,4.0,0,0,0,54.996435185185184,35.70229166666667
"MeelShare: Share Homemade Meals, Cut Waste, Connect People",failed,9.751217626422873,9.0,8.0,8.0,9.0,8.0,7.0,4.0,9.0,0,0,1,60.0,1.7406944444444445
Blevins Family Vineyards,failed,6.7148783076907375,4.0,6.0,8.0,5.0,3.0,7.0,4.0,6.0,0,0,1,30.0,16.305115740740742
Corbin Raymond: He's That Kid (Working Title),successful,1.5501170731749014,2.0,1.0,3.0,2.0,1.0,1.0,4.0,3.0,0,0,1,60.0,3.619594907407407
Design into 3D: a book of customizable project designs,successful,0.6168660385144531,8.0,9.0,8.0,6.0,7.0,8.0,4.0,8.0,0,0,0,30.0,65.24528935185185
Pazful Designs: Kiln + Studio Build,successful,0.5970971025938776,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,30.041666666666668,2.1258796296296296
Fancy Banana,successful,0.8547291978395644,8.0,6.0,9.0,8.0,7.0,8.0,4.0,8.0,0,0,1,30.0,47.79582175925926
Lyde Green Pottery,successful,0.8823072183072345,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,0,30.0,272.8303125
Albrechtowka - to save 128 years-old house,failed,9.722631369319203,6.0,2.0,8.0,6.0,4.0,5.0,4.0,6.0,0,1,1,59.745370370370374,5.174236111111111
Labnest,failed,9.127757423287502,8.0,8.0,9.0,9.0,8.0,8.0,2.0,9.0,0,0,0,59.900868055555556,9.051712962962963
Candy Cones Boutique,failed,9.583133554560902,6.0,4.0,8.0,5.0,7.0,6.0,4.0,7.0,0,0,0,30.0,1.6092939814814815
"Start, ""Preparing For A Life Rewired""",successful,0.6875420266612131,6.0,4.0,8.0,6.0,5.0,7.0,4.0,8.0,0,0,1,30.0,59.04140046296296
Micromobility: The First Year,successful,0.6098101732343364,8.0,6.0,9.0,7.0,5.0,8.0,4.0,8.0,0,0,0,29.958333333333332,42.90114583333333
"Handmade, Solar Fired Green Glazed Pottery",successful,3.072157957192335,6.0,8.0,9.0,7.0,4.0,5.0,3.0,8.0,0,0,0,19.601481481481482,62.83700231481482
Launching Ritual Glaze,successful,0.9393151736563765,9.0,8.0,8.0,9.0,7.0,7.0,4.0,9.0,0,0,1,30.0,18.08328703703704
"Food & Art Experiences: Creating Colorful, Culinary Spaces!",failed,7.925545335142214,4.0,2.0,6.0,4.0,5.0,3.0,2.0,6.0,0,0,0,30.0,0.2477199074074074
Kneady Folk: Where Brunch Dreams Come True,failed,7.03517294283259,6.0,2.0,8.0,6.0,4.0,5.0,4.0,6.0,0,0,0,30.0,4.57537037037037
Salviamo l'ulivo millenario,failed,9.462242520034017,8.0,4.0,7.0,6.0,3.0,2.0,6.0,5.0,0,0,1,60.0,43.04304398148148
Gentle Parenting Memes - VOL.2 - The evolving journey...,successful,0.5556356669272666,6.0,2.0,8.0,6.0,4.0,5.0,3.0,7.0,0,0,1,29.958333333333332,159.8945486111111
Butt mugs by Molly Sanyour Ceramics,successful,0.6944423784165321,4.0,6.0,8.0,7.0,5.0,6.0,4.0,7.0,0,0,1,30.0,6.022268518518518
"The Vessel: Community Pottery Studio - Huntsville, AL",successful,0.7024740651906547,8.0,7.0,9.0,8.0,6.0,7.0,4.0,9.0,0,1,1,30.0,82.32346064814814
Born to Sketch,failed,9.772218588683478,4.0,2.0,6.0,4.0,3.0,5.0,6.0,5.0,0,0,0,44.958333333333336,8.626203703703704
FLIGHT PS752: Building a memorial for 176 Victims,failed,9.661185700731243,8.0,6.0,9.0,7.0,8.0,5.0,4.0,7.0,0,0,0,44.958333333333336,5.582534722222222
Reality Gaming,failed,9.435504286756569,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,0,30.0,0.19074074074074074
Open House CDMX 2019,failed,5.867591257539244,6.0,4.0,8.0,6.0,5.0,4.0,3.0,7.0,0,0,1,41.287256944444444,3.197303240740741
The Loading Bay Skatepark,failed,6.039533895175966,8.0,9.0,9.0,8.0,7.0,8.0,4.0,9.0,0,0,1,30.0,245.98881944444443
On Cloud Nine-An Extraordinary Viewing Platform for Visitors,failed,7.270643049647349,6.0,4.0,8.0,6.0,5.0,4.0,3.0,7.0,0,0,1,60.0,32.153946759259256
Stillwell Agriculture:Harvesting Hope,failed,9.47505228998519,8.0,4.0,7.0,6.0,5.0,3.0,6.0,5.0,0,0,1,60.0,23.062638888888888
The Strategic Stop,successful,0.6203279053545263,8.0,9.0,8.0,7.0,6.0,5.0,4.0,8.0,0,0,1,30.0,123.93186342592593
Bully Complex,successful,0.7960846168512514,8.0,2.0,9.0,6.0,4.0,7.0,4.0,6.0,0,0,0,50.0,8.067430555555555
From my hands to yours 3rd edition,successful,2.6567570388595882,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,36.041666666666664,452.2270023148148
Serpentes Instant Noodle,successful,0.6182454659984449,2.0,4.0,6.0,5.0,7.0,3.0,2.0,6.0,0,1,0,30.0,72.78864583333333
Killin' for a Kiln,successful,1.2631635932490304,4.0,2.0,6.0,4.0,3.0,5.0,2.0,6.0,0,1,0,60.0,32.466446759259256
Women Architects of the World Top Trumps,failed,7.812937951664787,6.0,2.0,8.0,7.0,4.0,5.0,3.0,6.0,0,0,0,59.958333333333336,4.169976851851852
"SantElm66 - an atelier for creative, sustainable living",failed,5.59583399339656,8.0,9.0,9.0,7.0,6.0,8.0,4.0,8.0,0,0,0,29.958333333333332,174.94611111111112
The Haitian Cuisine Tour,failed,9.710067703632813,6.0,4.0,7.0,5.0,6.0,4.0,3.0,7.0,0,0,1,60.0,43.762708333333336
Plant-Based Party in the Park,failed,9.385268780512893,6.0,2.0,8.0,4.0,3.0,5.0,2.0,6.0,0,0,1,30.0,15.816944444444445
Saving a County: One Experience at a Time,failed,9.741706738215433,6.0,4.0,8.0,7.0,6.0,8.0,4.0,7.0,0,0,0,60.0,6.133136574074074
Save History for the future,failed,9.636579233484031,4.0,2.0,6.0,3.0,2.0,5.0,3.0,7.0,0,0,0,59.958333333333336,6.073194444444445
"The $1K Investor: Simple, Smart Steps to Start Investing",successful,0.5487077604320445,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,39.90164351851852,7.774502314814815
All-Munchiesâ¢ Snack Box,failed,9.747923439691656,6.0,2.0,8.0,7.0,6.0,5.0,4.0,7.0,0,0,0,60.0,0.03732638888888889
Dreams on Fire: Fueling a Young Chef's Journey,failed,9.187170709767617,6.0,4.0,7.0,5.0,6.0,5.0,8.0,7.0,0,0,1,60.0,0.19269675925925925
Fire Hazards to Food Forests!,failed,9.033506453451505,6.0,7.0,8.0,6.0,5.0,4.0,3.0,6.0,0,1,1,33.13560185185185,15.231388888888889
The Jelly Queens Community Kitchen,failed,5.979451140971264,8.0,7.0,9.0,8.0,7.0,8.0,3.0,8.0,1,1,1,31.813564814814814,19.15792824074074
Raines Mill Restoration at Fall Creek,failed,7.306434678837625,8.0,6.0,7.0,5.0,6.0,4.0,3.0,9.0,0,0,1,60.0,33.83758101851852
Communicating Vessels - Neil Spiller,failed,4.200929825810553,2.0,8.0,9.0,6.0,2.0,1.0,2.0,4.0,0,0,1,30.041666666666668,70.06627314814814
Design Brighton - Festival for the Urban Environment,failed,9.36792462375466,8.0,7.0,9.0,8.0,8.0,7.0,3.0,9.0,0,0,1,30.041666666666668,5.249583333333334
"Green area and bar ""MONTE VERDE"" .",failed,9.627997067347929,6.0,2.0,4.0,3.0,2.0,3.0,8.0,4.0,0,0,1,60.0,27.924664351851852
Skydesign room divider - made to inspire you,failed,9.206684113890235,8.0,8.0,9.0,9.0,8.0,8.0,4.0,9.0,0,0,1,35.0,64.09363425925926
Cakes for days,failed,9.811243126812329,6.0,4.0,7.0,5.0,6.0,7.0,3.0,8.0,0,0,0,60.0,1.0470601851851853
Gary Grahams Snack Shack Food Trailer,failed,9.323630341785998,6.0,4.0,8.0,7.0,6.0,7.0,3.0,7.0,0,1,0,30.0,23.184270833333333
THE PLATEAU,failed,6.845963671621553,6.0,8.0,7.0,8.0,5.0,6.0,4.0,7.0,0,0,0,60.041666666666664,11.382627314814815
Hoodies,failed,6.539092046352817,8.0,7.0,9.0,8.0,7.0,8.0,4.0,9.0,0,0,0,60.0,15.066550925925926
The Revolution Will Be Bloody.,successful,0.5243059141685524,8.0,6.0,7.0,8.0,4.0,5.0,6.0,7.0,0,0,1,30.041666666666668,40.68846064814815
Odd Jobs,successful,0.5321853620991379,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,29.557997685185185,9.893356481481481
Teorema Taller de CerÃ¡mica/ Ceramics Workshop,successful,0.8999879569111036,6.0,8.0,9.0,7.0,5.0,6.0,4.0,7.0,1,0,1,33.0,62.80563657407407
Your Favorite Brown Sugar Saver / Essential Oil Defuser,successful,1.08811323116359,4.0,5.0,7.0,6.0,3.0,6.0,2.0,8.0,0,0,1,14.180092592592592,586.9534259259259
Mancuerna Cafetera â¥,successful,2.5475474247776777,6.0,4.0,8.0,7.0,3.0,5.0,6.0,7.0,1,0,0,23.457233796296297,59.72996527777778
CETONIA,successful,1.9836775217856184,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,0,23.450462962962963,34.48236111111111
Integrated Solar Panel Design(patent),failed,9.099180635476662,6.0,7.0,8.0,9.0,8.0,8.0,4.0,9.0,0,0,0,25.0,0.05684027777777778
KJV Academy,failed,9.739079955420669,4.0,2.0,6.0,5.0,3.0,4.0,2.0,6.0,0,0,1,30.0,0.4544328703703704
Bring TastyTimes to Shambhala!!,failed,5.956963230503723,6.0,2.0,7.0,4.0,3.0,5.0,8.0,3.0,0,0,0,60.0,5.725185185185185
The Blue Bears of Happiness,successful,1.0202125093807357,9.0,9.0,9.0,9.0,9.0,9.0,2.0,9.0,0,0,0,30.0,7.873298611111111
Vagina Diary #5,successful,1.0027159086281834,4.0,2.0,6.0,7.0,3.0,5.0,2.0,8.0,1,0,1,27.44615740740741,46.814050925925926
A space for artists built with natural materials,failed,7.973367772573132,6.0,7.0,8.0,9.0,7.0,8.0,4.0,8.0,0,0,1,30.564872685185186,0.9357060185185185
Fright Foodie Fest 2020,failed,9.403202737803097,6.0,2.0,7.0,4.0,5.0,3.0,8.0,4.0,0,1,0,40.0,0.1457638888888889
KÃ¸benhavns Oktoberfest vil fejre et gigantisk 10Ã¥r jubilÃ¦um,failed,9.616518148023523,5.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,0,0,0,40.0,19.071643518518517
It's All Just a Draft: On the Craft of Writing,successful,0.331229689648882,6.0,8.0,9.0,7.0,4.0,5.0,3.0,8.0,1,0,0,24.608090277777777,0.780613425925926
Book: Conscious Leadership Revolution,successful,0.7085231962385474,8.0,8.0,9.0,8.0,7.0,6.0,2.0,9.0,0,0,1,30.0,0.16804398148148147
[The Pyrite Pyramid Project],failed,9.747222501492628,8.0,4.0,7.0,6.0,5.0,6.0,4.0,5.0,0,0,0,60.041666666666664,0.4216666666666667
Geodesic Glamping Eco-Village (tourism project in Abruzzo),failed,9.685898389078183,6.0,7.0,8.0,9.0,8.0,7.0,4.0,8.0,0,0,1,30.0,5.846238425925926
MonÃ©tâs,failed,9.488838299162238,8.0,7.0,9.0,8.0,6.0,7.0,3.0,9.0,0,0,0,59.07540509259259,2.164884259259259
Phase 2 - NHerr Art - Kiln for Pottery Studio,successful,0.9518496954663513,6.0,7.0,8.0,7.0,8.0,7.0,4.0,8.0,0,0,0,30.0,86.49540509259259
"Chasing Twain: A Rowboat, A River, A Reconciliation",successful,0.33302709500138916,8.0,6.0,9.0,7.0,4.0,5.0,3.0,7.0,1,0,1,37.61443287037037,88.9241550925926
Worst Pen Ever!,successful,1.0152524894790338,2.0,2.0,3.0,4.0,3.0,2.0,8.0,3.0,0,0,0,15.0,8.28888888888889
EL MISTERIO DE AGUSTINA: 97 aÃ±os de Historias Inspiradoras.,successful,0.5202893489611438,2.0,4.0,6.0,3.0,5.0,4.0,6.0,5.0,0,0,1,45.0,51.779780092592596
"Meals for the Homeless Community of Vallejo, CA.",failed,8.262720670342961,5.0,0.0,3.0,2.0,2.0,2.0,4.0,2.0,0,0,0,60.0,12.433229166666667
Mirlins Solar Food Trailer,failed,9.729657409820073,6.0,7.0,8.0,7.0,8.0,7.0,4.0,8.0,0,0,1,30.0,0.02829861111111111
Book Restoration Unveiled: A Guide for Book Collectors,successful,0.27223280344311096,8.0,6.0,8.0,7.0,7.0,6.0,4.0,8.0,1,0,1,21.0,15.797384259259259
Eden House Rooms - Guest House in medieval borough in Italy,failed,7.355015226585548,6.0,4.0,8.0,7.0,6.0,5.0,4.0,7.0,0,0,1,40.0,20.939502314814813
"El cafÃ© de Barbara, una gastronomÃ­a diferente.",failed,9.249846596229027,6.0,4.0,7.0,6.0,5.0,6.0,3.0,7.0,0,0,0,60.0,12.198831018518518
Brian Giniewski Ceramics: Made in Philadelphia,successful,0.5125348039118016,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,1,30.0,6.35025462962963
The Glitter Effect Book,successful,0.7290789371342599,6.0,4.0,7.0,3.0,2.0,5.0,8.0,6.0,0,0,1,30.0,2.042546296296296
Don't Just Send a Resume,successful,0.8136174999780921,9.0,8.0,8.0,7.0,7.0,6.0,4.0,8.0,0,0,1,29.70482638888889,51.37861111111111
"Building 2 Tiny Homes, in Vancouver BC, to CSA standards!",failed,9.374402237529914,6.0,8.0,8.0,7.0,7.0,6.0,3.0,8.0,0,0,1,59.958333333333336,66.31207175925925
"exceptional, unforgettable travel planning",failed,9.813956922206545,6.0,4.0,7.0,5.0,6.0,5.0,4.0,6.0,0,0,0,30.0,0.13170138888888888
Make100: SKT Ceramics Caribou Mug,successful,0.4222174903702802,8.0,7.0,9.0,8.0,6.0,7.0,2.0,9.0,1,0,1,30.0,5.880127314814815
Help Me Throw My Life Away,successful,1.8696023599588063,8.0,4.0,7.0,6.0,5.0,6.0,3.0,8.0,0,0,0,30.0,1.0441666666666667
Publishing Company,successful,1.7124658123195602,8.0,2.0,8.0,7.0,6.0,6.0,3.0,7.0,0,0,0,30.0,0.9018055555555555
International Christmas Dinner,failed,8.979353491768622,5.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,0,0,1,14.920659722222222,2.07875
Wafflelicious,failed,7.587408354741859,2.0,0.0,3.0,2.0,2.0,2.0,4.0,2.0,0,0,0,25.252800925925925,0.8655902777777778
A Hull for the Holidays - Luna Project - Finishing the Hull,failed,5.393702394983552,8.0,8.0,9.0,8.0,7.0,8.0,2.0,9.0,0,0,0,60.0,27.94534722222222
The Neolithic Inspired Studio!,successful,0.943024965467194,6.0,4.0,7.0,5.0,3.0,6.0,2.0,8.0,0,0,0,53.392418981481484,126.12395833333333
In Search of Sisu,successful,0.4573739397718568,6.0,8.0,9.0,7.0,4.0,5.0,6.0,8.0,0,0,1,30.072210648148147,27.92761574074074
CopenhagenHammockAcademy,failed,9.360314226030365,8.0,6.0,7.0,6.0,7.0,8.0,4.0,8.0,0,0,0,30.0,1.8460185185185185
The Monarch Motel â Moscow's Mid-Century Boutique Experience,failed,2.638266844876145,8.0,7.0,9.0,6.0,5.0,4.0,3.0,7.0,1,0,1,60.0,79.14386574074074
REXÂ® Online Farm Planning Program,failed,6.6735481336984765,9.0,8.0,9.0,8.0,8.0,8.0,4.0,9.0,0,0,1,25.655381944444443,3.5965046296296297
Ringmaster- Culinary Journeys with Chef CW,failed,4.633680798400935,5.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,0,0,1,29.0,148.58033564814815
IrRational Music by Elliott Sharp,successful,0.29448413977318233,2.0,8.0,6.0,4.0,3.0,5.0,6.0,7.0,1,0,1,30.0,2.698159722222222
A Christian Book with a NSFW Title,successful,0.5917955467346292,8.0,2.0,7.0,4.0,6.0,3.0,4.0,6.0,0,0,1,12.240231481481482,3.9400694444444446
"Budget like a BOSS! Merging hours, dollars & goals book",successful,0.5125642379441375,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,25.257662037037036,10.155243055555555
Joyfully Ever After Bible Study,successful,0.595608694030122,4.0,7.0,8.0,6.0,3.0,5.0,2.0,8.0,0,0,1,14.05726851851852,192.82893518518517
I Am a Blogger - 17 stories about earning a living online,successful,0.6983348613822171,6.0,8.0,9.0,7.0,6.0,8.0,4.0,8.0,0,0,1,15.182928240740742,12.181608796296297
Tiny Houses Airbnb,failed,9.599854313627276,6.0,2.0,8.0,4.0,3.0,5.0,6.0,7.0,0,0,0,30.0,1.3836111111111111
"Queens crossing, bakery, magical gift shop",failed,9.657308751240159,6.0,4.0,8.0,7.0,5.0,6.0,4.0,7.0,0,0,0,30.0,3.455138888888889
RAYSE UP Atlanta Lunch in the Park for the Homeless,failed,9.512605706591561,6.0,2.0,4.0,3.0,5.0,2.0,8.0,4.0,0,0,0,60.0,2.2451041666666667
Obsessive Compulsive Disorder Diary,successful,0.8518048283239565,8.0,6.0,9.0,4.0,3.0,2.0,6.0,7.0,0,0,1,51.29314814814815,3.138634259259259
The Exodus of Our Lives-Finding Your Promised Land,successful,0.6892528740202453,6.0,4.0,8.0,2.0,1.0,3.0,6.0,7.0,0,0,1,30.0,1.3858449074074075
The Reclamation Project: Waynesboro Workshop,failed,7.5505218407260655,8.0,7.0,9.0,8.0,6.0,7.0,4.0,8.0,0,0,1,50.50334490740741,153.009375
MicroHaus - Tiny Rapid Assembly Affordable Architecture,failed,6.00239609167552,6.0,8.0,9.0,7.0,5.0,6.0,4.0,7.0,0,0,1,45.530092592592595,626.519386574074
DeLind Ceramics Company,successful,0.797494680142834,6.0,8.0,9.0,7.0,4.0,6.0,3.0,8.0,0,0,1,30.0,105.74018518518518
HOW TO ARCHITECTURE!,failed,4.284295094146642,6.0,4.0,8.0,5.0,6.0,7.0,4.0,7.0,0,0,1,30.0,126.60421296296296
Hemp Home: Tiny+,failed,4.849178420887302,8.0,6.0,9.0,8.0,5.0,7.0,4.0,7.0,0,0,1,45.0,250.70284722222223
Longest Pizza In the World 2017,failed,8.570175890224688,2.0,6.0,8.0,4.0,3.0,2.0,6.0,5.0,0,0,1,19.958333333333332,21.172893518518517
European Adventure: 1944 to 1945 WWII Memoir and Scrapbook,successful,0.48100675757804523,2.0,8.0,9.0,4.0,6.0,7.0,8.0,9.0,0,0,0,39.51291666666667,0.0868287037037037
I Believe God: a 40-day healing journey (a daily devotional),successful,0.4000490335232887,8.0,6.0,9.0,4.0,3.0,5.0,6.0,7.0,0,0,1,17.61275462962963,14.686909722222222
Krampus Beer Stein,successful,0.36441023236528425,2.0,8.0,9.0,6.0,4.0,5.0,3.0,7.0,1,0,1,30.0,106.32578703703703
Cut and Reassembled,successful,0.750552400511536,2.0,4.0,6.0,3.0,1.0,2.0,8.0,4.0,0,0,0,30.0,16.887175925925927
"Fundraising to publish the book, ""100 Reasons""",successful,0.6767573409535721,2.0,4.0,6.0,3.0,5.0,4.0,8.0,6.0,0,0,1,39.958333333333336,0.2603009259259259
Menopause: An Imperfect Guide,successful,0.31678125633879284,8.0,6.0,9.0,7.0,5.0,4.0,6.0,7.0,1,0,1,27.958333333333332,110.1128587962963
*The Colored Boys Of Uncle Sam in World War I (WWI),successful,0.5567367965838144,8.0,6.0,9.0,7.0,4.0,5.0,3.0,7.0,0,0,1,23.041087962962962,12.444201388888889
Anomaly: How To Finally Standout From the Crowd,successful,0.5598977119325232,8.0,6.0,9.0,8.0,7.0,6.0,4.0,8.0,0,0,1,32.621377314814815,20.862627314814816
Pots On Wheels,successful,0.3182823003245594,6.0,8.0,9.0,7.0,6.0,5.0,4.0,7.0,1,0,1,27.61045138888889,66.66072916666667
Tiny House Builders: MicroCube Shelter,failed,9.252038703002146,6.0,2.0,8.0,4.0,1.0,3.0,6.0,5.0,0,0,1,30.0,1.0328703703703703
Bound Printed Matter: The Life of JoeMisfit An Autobiography,successful,0.502338166526054,2.0,4.0,6.0,3.0,5.0,4.0,8.0,6.0,0,0,1,10.0,1.210011574074074
Modern Handmade Ceramics: Paper & Clay,successful,0.520443751295363,6.0,8.0,9.0,7.0,5.0,6.0,4.0,8.0,0,0,1,14.0,6.0406712962962965
Inglewood's 1st Co Working Space,failed,9.400916867859078,6.0,4.0,7.0,3.0,2.0,5.0,6.0,5.0,0,0,1,33.41662037037037,13.558784722222223
"Harishwar Center for Arts, Spirituality & Sustainability",failed,6.911579794089368,6.0,2.0,8.0,4.0,3.0,5.0,6.0,4.0,0,0,0,30.0,2.0311458333333334
PROVIDING HAWAII A HEALTHY-WHOLESALE BAKERY & FOOD CATERER,failed,9.502198657367178,6.0,8.0,7.0,5.0,4.0,6.0,3.0,7.0,0,0,0,30.0,18.927476851851853
Save Vilnotik Ceramics â Secure Our Creative Haven,failed,7.480969722847844,8.0,6.0,9.0,7.0,4.0,5.0,3.0,7.0,0,1,1,40.50581018518518,32.992523148148145
Survey and Restoration of WW1 Jimmy's Cob House,failed,9.546614545367976,6.0,2.0,8.0,4.0,1.0,3.0,6.0,5.0,0,0,0,30.0,5.933958333333333
"Start a Home Design Buisiness ""Designs By Matt""",failed,9.600651222109954,6.0,4.0,7.0,2.0,3.0,5.0,6.0,7.0,0,0,0,30.0,4.552557870370371
Nyomecreations4u,failed,9.58998682207186,4.0,2.0,6.0,3.0,4.0,5.0,6.0,7.0,0,0,0,30.0,0.7939236111111111
The Paw Station,failed,9.128932529237487,8.0,2.0,9.0,8.0,4.0,7.0,6.0,5.0,0,0,0,59.847488425925924,5.941967592592593
Paleo for Unicorns: Eat the Patriarchy,successful,0.22534388712291964,6.0,4.0,8.0,7.0,3.0,5.0,6.0,7.0,1,0,1,25.031111111111112,58.05653935185185
MUTANT - Minnen frÃ¥n den fÃ¶rbjudna zonen,successful,1.2282252814516126,6.0,8.0,9.0,7.0,8.0,8.0,4.0,9.0,0,0,1,29.581180555555555,5.7086805555555555
Aussie Munch Bunch eco-friendly craft packs - make 100,failed,9.315538590423916,8.0,6.0,9.0,7.0,4.0,5.0,6.0,7.0,0,1,0,44.958333333333336,20.78159722222222
Maine Hangars,failed,9.739791592643144,4.0,2.0,6.0,2.0,1.0,1.0,2.0,3.0,0,0,0,30.0,0.3628587962962963
How Warm is a Warmpod?,failed,8.709908111734956,8.0,9.0,9.0,6.0,4.0,5.0,8.0,8.0,0,0,1,7.041666666666667,3.191851851851852
FUUUU-- Mood Pin by Kilnec,failed,6.363561940633565,2.0,4.0,6.0,3.0,2.0,4.0,8.0,5.0,0,1,1,12.0,332.65074074074073
Drink a Hotâa gift from china|rukin porcelain coffee/tea set,failed,7.696574910296807,2.0,6.0,8.0,9.0,4.0,5.0,6.0,7.0,0,1,1,30.0,22.345462962962962
Sustainable Homes,failed,9.61895168960908,8.0,2.0,6.0,4.0,2.0,3.0,6.0,5.0,0,0,0,60.041666666666664,0.6044907407407407
THE STRATEGY JOURNEY BOOK,successful,0.6343614144020315,8.0,6.0,9.0,7.0,8.0,5.0,4.0,7.0,0,0,1,30.0,240.36517361111112
Seasonal Vegetable Tasting,failed,9.523834693984572,8.0,2.0,6.0,4.0,3.0,2.0,6.0,5.0,0,0,0,29.958333333333332,1.0635532407407406
ForTheLoveOfFoodTrucks.com,failed,9.633852974926812,6.0,2.0,4.0,1.0,2.0,3.0,8.0,4.0,0,0,1,30.0,0.05032407407407408
Rossella Fiorillo Bathroom,failed,9.339902439914809,2.0,1.0,6.0,4.0,1.0,2.0,2.0,3.0,0,0,1,30.0,8.596030092592592
Make 100 Ceramic Art Tiles,failed,7.461246730254587,2.0,6.0,8.0,4.0,1.0,3.0,6.0,7.0,0,1,0,29.85134259259259,11.427268518518519
The Kitchen Science Cookbook,successful,0.5410512440469062,8.0,9.0,9.0,7.0,4.0,6.0,3.0,8.0,1,0,1,30.0,5.474988425925926
The Kundalini Yoga Book - Life in the Vast Lane,successful,0.6821286493486423,6.0,8.0,9.0,7.0,4.0,5.0,6.0,8.0,0,0,1,30.0,214.9124189814815
"Charlie Fink's Metaverse: A Guide To AR, VR & The Future",successful,0.5934273483786967,6.0,8.0,9.0,7.0,4.0,5.0,6.0,8.0,0,0,0,35.44451388888889,0.5480092592592593
"""Hidden"" - A Book about Secrets",successful,0.6515005968342857,8.0,6.0,9.0,7.0,8.0,7.0,4.0,8.0,0,0,1,23.72392361111111,181.82130787037036
"The Art, Antiques and Vintage Collectibles Preservation Man",failed,9.652951083259477,8.0,6.0,7.0,4.0,3.0,5.0,6.0,7.0,0,0,1,30.0,0.13341435185185185
The Road to Blakkr Flesk Meadhall,failed,9.308605719365584,6.0,4.0,7.0,8.0,2.0,3.0,6.0,5.0,0,0,1,31.328298611111112,3.6181134259259258
Ninja Obstacle Course & Unique Fitness Facility in Maine,failed,7.700934346011531,6.0,8.0,9.0,7.0,5.0,8.0,4.0,8.0,0,0,1,30.0,182.10949074074074
A Model Neighborhood to Rebuild Detroit,failed,6.482390249376074,8.0,9.0,8.0,7.0,6.0,7.0,4.0,8.0,0,0,1,30.0,2.2686342592592594
Aquarium Celebration Cake Structure,failed,9.44247022092392,4.0,6.0,8.0,7.0,3.0,5.0,6.0,7.0,0,0,1,30.0,128.74083333333334
WeihnachtsbÃ¤ckerei im Kinderclub,failed,6.898990358779589,6.0,2.0,8.0,4.0,3.0,2.0,2.0,6.0,0,0,0,16.02076388888889,10.28056712962963
Hunting Lucky - Paul Michaels New Book!,successful,0.7109514870760703,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,30.34815972222222,653.6018634259259
Challenge racist narratives with a new book by David Pilgrim,successful,0.3724877154198669,8.0,6.0,9.0,8.0,7.0,8.0,4.0,8.0,1,0,1,33.028506944444445,80.30761574074074
Recycled Marble Art Mosaics,failed,9.69447496590423,6.0,4.0,8.0,7.0,5.0,6.0,4.0,7.0,0,0,0,29.958333333333332,0.07892361111111111
All Wheel Drive,failed,9.537536873739896,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,0,30.0,3.180509259259259
Taste of Caribbean (Catering & Event Services),failed,9.67727970731975,2.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,0,0,0,60.041666666666664,2.972048611111111
